PC,IIN,EIN
0.0,0.0,0.0
0.0,0.0,0.0
1.1159668664637847e-06,3.682124178687614e-07,1.4728496714750457e-06
2.8772118332265023e-06,9.573522864587798e-07,3.829409145835119e-06
4.955362188090921e-06,1.6645425801486422e-06,6.658170320594569e-06
7.125911281349238e-06,2.419348876058891e-06,9.677395504235564e-06
9.239568762048527e-06,3.1748521372296783e-06,1.2699408548918713e-05
1.1200997926591998e-05,3.901015233225129e-06,1.5604060932900515e-05
1.2953108644367189e-05,4.579777107118782e-06,1.8319108428475127e-05
1.4465517461753129e-05,5.201444683722135e-06,2.080577873488854e-05
1.57261240137289e-05,5.762056571692471e-06,2.3048226286769884e-05
1.6735009777427306e-05,6.261471897383598e-06,2.504588758953439e-05
1.750006054716229e-05,6.701998008412141e-06,2.6807992033648563e-05
1.8033862362263303e-05,7.087416736725077e-06,2.8349666946900308e-05
1.8351533117377613e-05,7.422303816963963e-06,2.968921526785585e-05
1.8469237251340988e-05,7.711562525223675e-06,3.08462501008947e-05
1.8403195262994948e-05,7.960112635858573e-06,3.1840450543434293e-05
1.8169048323249395e-05,8.172690921911607e-06,3.2690763687646426e-05
1.778147474897139e-05,8.353730820821689e-06,3.3414923283286754e-05
1.7253982481582214e-05,8.507297448194891e-06,3.4029189792779565e-05
1.6598822187140513e-05,8.637060553768772e-06,3.4548242215075086e-05
1.5826980852569217e-05,8.746292798041889e-06,3.4985171192167556e-05
1.494822707798152e-05,8.837884283740188e-06,3.535153713496075e-05
1.3971187632544388e-05,8.914366906447491e-06,3.5657467625789966e-05
1.2903440990144766e-05,8.977944023585593e-06,3.591177609434237e-05
1.1751618050805989e-05,9.030522355083299e-06,3.6122089420333196e-05
1.0521503507051163e-05,9.073744054654238e-06,3.629497621861695e-05
9.218133649897544e-06,9.109017627387164e-06,3.6436070509548654e-05
7.84588806655683e-06,9.137546892501138e-06,3.655018757000455e-05
6.408573840974657e-06,9.160357556094669e-06,3.6641430224378675e-05
4.90950166349422e-06,9.178321209808164e-06,3.671328483923266e-05
3.3515537873513937e-06,9.192176739079268e-06,3.676870695631707e-05
1.7372441117614078e-06,9.20254923255517e-06,3.681019693022068e-05
6.877087898464923e-08,9.209966549586356e-06,3.683986619834542e-05
-1.6519374136566524e-06,9.214873738329033e-06,3.685949495331613e-05
-3.423182236805552e-06,9.217645512161625e-06,3.68705820486465e-05
-5.243460731275838e-06,9.21859699364468e-06,3.687438797457872e-05
-7.111436255530124e-06,9.217992927989068e-06,3.6871971711956274e-05
-9.025913183402687e-06,9.216055555400821e-06,3.6864222221603286e-05
-1.0985815405205099e-05,9.212971316162002e-06,3.685188526464801e-05
-1.2990168037566838e-05,9.208896545546955e-06,3.683558618218782e-05
-1.50380819001181e-05,9.203962298773455e-06,3.681584919509382e-05
-1.7128740368155332e-05,9.198278429864568e-06,3.679311371945827e-05
-1.926138825836331e-05,9.191937032984417e-06,3.676774813193767e-05
-2.1435322448741174e-05,9.185015340747716e-06,3.6740061362990864e-05
-2.3649883973759883e-05,9.177578161292058e-06,3.671031264516823e-05
-2.590445137141542e-05,9.16967992455605e-06,3.66787196982242e-05
-2.819843509037122e-05,9.161366398179936e-06,3.6645465592719746e-05
-3.053127279305095e-05,9.152676124657086e-06,3.661070449862834e-05
-3.2902425414659206e-05,9.143641623714038e-06,3.657456649485615e-05
-3.531137385900853e-05,9.134290397274652e-06,3.653716158909861e-05
-3.775761623005857e-05,9.124645768659845e-06,3.649858307463938e-05
-4.0240665513557465e-05,9.114727582781997e-06,3.6458910331127986e-05
-4.276004763642724e-05,9.104552789912076e-06,3.64182111596483e-05
-4.5315299842841185e-05,9.094135932035935e-06,3.637654372814374e-05
-4.7905969335560607e-05,9.083489547790803e-06,3.633395819116321e-05
-5.053161213926186e-05,9.072624509409471e-06,3.6290498037637884e-05
-5.319179214949954e-05,9.0615503029323e-06,3.62462012117292e-05
-5.58860803367954e-05,9.050275261118467e-06,3.620110104447387e-05
-5.861405408027454e-05,9.038806756947517e-06,3.615522702779007e-05
-6.137529660942451e-05,9.027151364307056e-06,3.6108605457228225e-05
-6.416939653604935e-05,9.01531499137474e-06,3.606125996549896e-05
-6.699594746142657e-05,9.003302991290669e-06,3.6013211965162676e-05
-6.985454764614084e-05,8.991120253952262e-06,3.596448101580905e-05
-7.27447997321347e-05,8.978771282124559e-06,3.5915085128498235e-05
-7.566631050824729e-05,8.966260254524529e-06,3.5865041018098114e-05
-7.861869071196137e-05,8.953591078091832e-06,3.581436431236733e-05
-8.160155486128984e-05,8.940767431286165e-06,3.576306972514466e-05
-8.461452111174567e-05,8.927792799940866e-06,3.571117119976346e-05
-8.765721113418397e-05,8.914670506943855e-06,3.565868202777542e-05
-9.072925001001076e-05,8.901403736801593e-06,3.560561494720637e-05
-9.383026614084126e-05,8.887995555962525e-06,3.55519822238501e-05
-9.695989117018075e-05,8.874448929627415e-06,3.549779571850966e-05
-0.00010011775991510987,8.860766735650051e-06,3.5443066942600205e-05
-0.00010330351030629701,8.846951776028848e-06,3.538780710411539e-05
-0.00010651678333494259,8.833006786404324e-06,3.53320271456173e-05
-0.00010975722300549734,8.818934443906467e-06,3.527573777562587e-05
-0.00011302447629319158,8.804737373637021e-06,3.5218949494548084e-05
-0.0001163181931055763,8.790418154022878e-06,3.516167261609151e-05
-0.000119638026247412,8.775979321236188e-06,3.510391728494475e-05
-0.00012298363138835453,8.761423372843166e-06,3.5045693491372666e-05
-0.00012635466703298008,8.746752770815731e-06,3.4987011083262924e-05
-0.0001297507944927696,8.731969944016979e-06,3.4927879776067914e-05
-0.00013317167785973792,8.717077290252369e-06,3.4868309161009475e-05
-0.0001366169839814456,8.70207717796267e-06,3.480830871185068e-05
-0.00014008638243717653,8.686971947621526e-06,3.47478877904861e-05
-0.0001435795455151017,8.671763912889679e-06,3.4687055651558714e-05
-0.00014709614819027916,8.656455361568878e-06,3.462582144627551e-05
-0.00015063586810336655,8.641048556391022e-06,3.456419422556409e-05
-0.00015419838553994324,8.625545735671939e-06,3.4502182942687755e-05
-0.00015778338341035662,8.609949113854104e-06,3.4439796455416416e-05
-0.00016139054723002185,8.59426088195837e-06,3.437704352783348e-05
-0.00016501956510011603,8.578483207961277e-06,3.431393283184511e-05
-0.00016867012768861822,8.562618237111645e-06,3.425047294844658e-05
-0.00017234192821165436,8.546668092197725e-06,3.41866723687909e-05
-0.00017603466241511358,8.530634873774266e-06,3.4122539495097064e-05
-0.00017974802855650802,8.514520660357142e-06,3.405808264142857e-05
-0.0001834817273870522,8.498327508591907e-06,3.399331003436763e-05
-0.0001872354621339432,8.482057453401475e-06,3.39282298136059e-05
-0.0001910089384828252,8.46571250811723e-06,3.386285003246892e-05
-0.00019480186456042437,8.449294664597088e-06,3.379717865838835e-05
-0.0001986139509173436,8.432805893333412e-06,3.373122357333365e-05
-0.00020244491051100706,8.416248143553162e-06,3.366499257421265e-05
-0.00020629445868874672,8.399623343312223e-06,3.359849337324889e-05
-0.0002101623131710242,8.382933399585493e-06,3.353173359834197e-05
-0.00021404819403478238,8.366180198354049e-06,3.3464720793416195e-05
-0.00021795182369692184,8.349365604690418e-06,3.3397462418761674e-05
-0.00022187292689789816,8.332491462842842e-06,3.332996585137137e-05
-0.00022581123068543657,8.31555959631918e-06,3.326223838527672e-05
-0.00022976646439836098,8.298571807971052e-06,3.3194287231884207e-05
-0.00023373835965053496,8.281529880078616e-06,3.3126119520314464e-05
-0.0002377266503149121,8.264435574436365e-06,3.305774229774546e-05
-0.00024173107250769437,8.247290632440188e-06,3.298916252976075e-05
-0.0002457513645725962,8.230096775175922e-06,3.292038710070369e-05
-0.00024978726706521284,8.212855703509534e-06,3.2851422814038136e-05
-0.0002538385227374925,8.195569098179072e-06,3.278227639271629e-05
-0.00025790487652230937,8.178238619888441e-06,3.2712954479553765e-05
