G/g_definition/g_input,E3b,PV3b,SST3b,VIP3b,E1S1,PV1S1,SST1S1,VIPS1,E2S1,PV2S1,SST2S1,E3S1,PV3S1,SST3S1,E4S1,PV4S1,SST4S1,E1S2,PV1S2,SST1S2,VIPS2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,stability,bifurcation
1.3797742469,1.9815238946745,2.3895290144705,1.3395503850364,1.086257839742,1.781166663659439,2.903833547510108,1.8805524153941389,0.8836085386096779,2.57103285637336,6.540564674494919,2.13547162634956,2.1997920963427,1.58959453931726,1.52080976465241,1.3085027078852098,3.637575049286644,1.52100099784539,1.5853877627300461,2.8139052127860023,1.8500922311134458,0.875376356343589,1.9162405886582399,4.68247310951195,1.8134215180555397,2.0112048393245,1.5644603909669001,1.5619957311375299,1.26406247834392,3.595566516884835,1.52065255509909,0.0,0.0,,RG
2.6222301275,2.113982619627,2.902045559368,1.399823471385,0.9864146009585,2.48534258482551,4.7133801049253705,2.6776719126267103,0.5842591632466088,3.9708770067084895,12.963558352413244,3.16116332572419,3.2673938328350003,1.9518972930666998,1.9146434950726599,1.37385093818211,5.831839974852056,1.80103647454438,1.9948222791863799,4.421928205925813,2.53870500544068,0.553518490013975,2.64030670439519,8.399132775069098,2.4408397716903902,2.8980444382484,2.00663321267346,1.9764229050762698,1.31462587545944,5.781399106429145,1.79672109317382,0.0,0.0,,RG
3.600778771,2.22409536271,3.320939746564,1.451604089949,0.9095384207659999,3.2506937045981106,6.503025917461915,3.5159322742637107,0.3291815849456189,5.190545704752329,19.644524997546704,3.9660949221670307,4.4093007307988,2.4168368787652,2.3305979681374005,1.4420425920537898,7.620775424448093,2.01154426010726,2.38079335258484,5.838066871676697,3.17372431081294,0.27138707008321317,3.2895597468865496,11.879856443113752,2.98224402988875,3.7830477219102,2.5124892062011,2.3968430073888998,1.36007710130848,7.542756060024654,2.00024292691083,0.0,0.0,,RG
4.0078644197,2.271505978116,3.49947475112,1.474324041284,0.878022889473,3.556436432719119,7.317797586056956,3.90702162024812,0.206359191028753,5.470796196643131,22.209720889693696,4.11007105378543,4.88823888746,2.6437138705719,2.5156492356130995,1.4598087330949898,8.367826910149073,2.09109596411597,2.5583143649387203,6.4743855641070045,3.46675968419372,0.14350398475136594,3.56241437310081,13.468192672196112,3.2043655306152097,4.2140475875343,2.7828652216109,2.6063726257917,1.3812539033522797,8.290470056229822,2.07978265432409,0.0,0.0,,EP
