V_E1,V_P1,V_S1,V_V1
0.0,0.0,0.0,0.0
2.2367287003284004e-05,-7.074532471093732e-07,-2.1999884436545088e-07,0.0
8.022156783026147e-05,-2.5407212323100594e-06,-7.89632622892201e-07,0.0
0.00016221479452683765,-5.149871190491443e-06,-1.5988547497366518e-06,0.0
0.00025950457014246864,-8.264309496214522e-06,-2.5622360594499293e-06,0.0
0.0003654846781365028,-1.168450230954639e-05,-3.6163797034862414e-06,0.0
0.0004752389250151439,-1.5262957714108706e-05,-4.714244632953456e-06,0.0
0.0005850184125122392,-1.88860423999097e-05,-5.81972722307654e-06,0.0
0.0006923290385211925,-2.2478596113990246e-05,-6.908846520871304e-06,0.0
0.0007953553474476351,-2.598430644251029e-05,-7.963854324423208e-06,0.0
0.0008927756833994996,-2.936017487454935e-05,-8.971479837393819e-06,0.0
0.0009839582472529053,-3.258392644603974e-05,-9.925056924052752e-06,0.0
0.0010685897588777991,-3.5641867649121813e-05,-1.0820818227159768e-05,0.0
0.0011464665314641228,-3.852287366066223e-05,-1.1655943156334902e-05,0.0
0.0012175917766472746,-4.1221983111662205e-05,-1.2429591652022675e-05,0.0
0.0012822970925150605,-4.374362492326515e-05,-1.3144014944622815e-05,0.0
0.001340930304437591,-4.609274626374364e-05,-1.3801637849113214e-05,0.0
0.0013937978993202717,-4.827356479448282e-05,-1.4404577037857724e-05,0.0
0.0014411812339032012,-5.0290148809229134e-05,-1.4954806779144936e-05,0.0
0.0014835205188934615,-5.2151369845614023e-05,-1.5455844718524594e-05,0.0
0.0015213285066343072,-5.386777679808299e-05,-1.591186427046404e-05,0.0
0.0015550450743368604,-5.54486358628334e-05,-1.6326476050360752e-05,0.0
0.001585034500864787,-5.690193823786499e-05,-1.6702712610683817e-05,0.0
0.001611585466734298,-5.823440012297989e-05,-1.7043028440973947e-05,0.0
0.001634947247495208,-5.945226886301288e-05,-1.734960534189507e-05,0.0
0.001655508359004875,-6.0565061595371084e-05,-1.762585267611045e-05,0.0
0.001673609467799098,-6.158123860403329e-05,-1.7874807457559737e-05,0.0
0.0016895414635621283,-6.250837363880531e-05,-1.8099112021920315e-05,0.0
0.0017035540949860595,-6.335335795412979e-05,-1.8301086864137607e-05,0.0
0.0017158559697708275,-6.412240030908626e-05,-1.8482730638425087e-05,0.0
0.0017266145546242096,-6.482102696739111e-05,-1.8645720158264262e-05,0.0
0.0017359575951761996,-6.545410159341223e-05,-1.8791421050526574e-05,0.0
0.0017440730102351162,-6.602728384098565e-05,-1.8921654467911045e-05,0.0
0.0017511373493090017,-6.654612008349146e-05,-1.9038189346896103e-05,0.0
0.0017572739319957839,-6.701527429628223e-05,-1.914237778259431e-05,0.0
0.001762594718785393,-6.743907771832787e-05,-1.9235458695057948e-05,0.0
0.0017672003110597626,-6.78215288522155e-05,-1.9318557829278995e-05,0.0
0.0017711799510928292,-6.81662934641496e-05,-1.9392687755189144e-05,0.0
0.0017746115220505319,-6.847670458395186e-05,-1.9458747867659805e-05,0.0
0.0017775615479908129,-6.875576250506128e-05,-1.9517524386502086e-05,0.0
0.0017800883816643967,-6.900619197628162e-05,-1.9569717885464994e-05,0.0
0.001782264928235892,-6.923094418660057e-05,-1.96161644613626e-05,0.0
0.0017841319826458514,-6.94324456673277e-05,-1.965745291966849e-05,0.0
0.0017857210740138702,-6.961284744040233e-05,-1.9694076877744576e-05,0.0
0.0017870626892448201,-6.977415467068326e-05,-1.9726500884931886e-05,0.0
0.001788186273028848,-6.991822666594891e-05,-1.9755160422550606e-05,0.0
0.0017891202278413774,-7.004677687689724e-05,-1.9780461903900047e-05,0.0
0.0017898919139431072,-7.016137289714577e-05,-1.980278267425866e-05,0.0
0.0017905276493800125,-7.026343646323158e-05,-1.9822471010884027e-05,0.0
0.0017910527099833447,-7.035424345461127e-05,-1.9839846123012876e-05,0.0
0.0017914911171050137,-7.043492917960932e-05,-1.9855198072036815e-05,0.0
0.001791854192403761,-7.050666381405034e-05,-1.98687667667769e-05,0.0
0.0017921464402416076,-7.057036053177674e-05,-1.9880722452017145e-05,0.0
0.0017923748373163582,-7.062677295300268e-05,-1.9891219910091605e-05,0.0
0.0017925463901768484,-7.06766156740938e-05,-1.9900406702858825e-05,0.0
0.0017926681352229447,-7.072056426756726e-05,-1.9908423171701832e-05,0.0
0.0017927471387055448,-7.075925528209168e-05,-1.9915402437528148e-05,0.0
0.0017927904967265783,-7.079328624248719e-05,-1.9921470400769773e-05,0.0
0.001792805335239005,-7.082321564972542e-05,-1.9926745741383205e-05,0.0
0.001792798810046816,-7.084956298092949e-05,-1.993133991884942e-05,0.0
0.001792777725328358,-7.087280377634173e-05,-1.993535518128247e-05,0.0
0.0017927425887534136,-7.089326492441216e-05,-1.9938849985063373e-05,0.0
0.0017926939452614598,-7.091118878774017e-05,-1.994187031040742e-05,0.0
0.0017926335292707423,-7.092681779800848e-05,-1.9944465005682733e-05,0.0
0.00179256309024429,-7.094038773168574e-05,-1.994668075741714e-05,0.0
0.001792484392689913,-7.095212771002656e-05,-1.9948562090298225e-05,0.0
0.0017923992161602035,-7.096226019907147e-05,-1.9950151367173285e-05,0.0
0.0017923093552525365,-7.097100100964695e-05,-1.9951488789049355e-05,0.0
0.0017922166196090686,-7.097855929736544e-05,-1.9952612395093198e-05,0.0
0.001792122734710132,-7.098513177125389e-05,-1.995355731407785e-05,0.0
0.0017920279145215736,-7.099081112801601e-05,-1.9954343463382832e-05,0.0
0.0017919323036647658,-7.099566469799441e-05,-1.9954985578494602e-05,0.0
0.0017918362928921944,-7.099977145865823e-05,-1.995549924311254e-05,0.0
0.001791740278791147,-7.100321016651543e-05,-1.9955899490839462e-05,0.0
0.0017916446637837133,-7.10060593571128e-05,-1.9956200805181626e-05,0.0
0.001791549856126785,-7.100839734503587e-05,-1.995641711954872e-05,0.0
0.0017914562699120561,-7.101030222390901e-05,-1.9956561817253876e-05,0.0
0.001791364325066023,-7.101185186639534e-05,-1.9956647731513655e-05,0.0
0.0017912744247789566,-7.10131219662968e-05,-1.9956686949309858e-05,0.0
0.0017911865449498174,-7.101414241188611e-05,-1.995668606231377e-05,0.0
0.0017911006708310202,-7.10149263656158e-05,-1.9956648767366892e-05,0.0
0.0017910168701492863,-7.101549397497259e-05,-1.9956579183664963e-05,0.0
0.001790935197114135,-7.101586649966672e-05,-1.995648138994642e-05,0.0
0.0017908556924178844,-7.101606631163202e-05,-1.99563594244924e-05,0.0
0.0017907783832356511,-7.101611689502586e-05,-1.9956217285126733e-05,0.0
0.0017907032832253506,-7.101604284622915e-05,-1.9956058929215955e-05,0.0
0.001790630392527696,-7.101586987384641e-05,-1.9955888273669295e-05,0.0
0.0017905596977661994,-7.101562479870568e-05,-1.9955709194938677e-05,0.0
0.0017904911719656604,-7.101533554785759e-05,-1.9955525528420177e-05,0.0
0.0017904245162622227,-7.101500369370742e-05,-1.9955338291247707e-05,0.0
0.0017903597179067968,-7.101462224143884e-05,-1.9955147376210083e-05,0.0
0.0017902970668210766,-7.101420336349807e-05,-1.9954954480832725e-05,0.0
0.0017902367573982654,-7.101375724974223e-05,-1.9954761040697237e-05,0.0
0.0017901788885030772,-7.101329210743937e-05,-1.9954568229441428e-05,0.0
0.0017901234634717356,-7.101281416126846e-05,-1.99543769587593e-05,0.0
0.001790070390111974,-7.101232765331937e-05,-1.9954187878401055e-05,0.0
0.001790019480703036,-7.10118348430929e-05,-1.9954001376173087e-05,0.0
0.0017899704519956751,-7.101133600750077e-05,-1.9953817577937985e-05,0.0
0.001789922925212155,-7.10108294408656e-05,-1.9953636347614542e-05,0.0
