E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3
-3.4856203e-06,-1.2880749e-06,2.817669e-05,-3.3246924e-06,0.00017747712,9.862174e-05,-1.1207295e-05,0.00019675387,9.794629e-05,4.8025107e-05,1.6016282e-05
-3.614818e-06,-1.3133306e-06,2.972023e-05,-3.4514355e-06,0.00018672524,0.00010385242,-1.1522402e-05,0.00020700636,0.000102979204,5.0487837e-05,1.6847678e-05
-3.7428058e-06,-1.3364332e-06,3.1290834e-05,-3.5768735e-06,0.0001961051,0.00010916246,-1.1823958e-05,0.00021740544,0.00010807902,5.2983025e-05,1.7690663e-05
-3.8695316e-06,-1.3573883e-06,3.2887438e-05,-3.7009008e-06,0.00020561008,0.0001145481,-1.2111648e-05,0.00022794383,0.00011324211,5.55089e-05,1.8544635e-05
-3.9949605e-06,-1.3762094e-06,3.4508965e-05,-3.823422e-06,0.00021523373,0.00012000548,-1.2385207e-05,0.00023861445,0.000118464945,5.806374e-05,1.9409008e-05
-4.119065e-06,-1.3929186e-06,3.615437e-05,-3.9443503e-06,0.00022496977,0.0001255309,-1.26444165e-05,0.00024941043,0.00012374404,6.064587e-05,2.0283209e-05
-4.2418255e-06,-1.4075401e-06,3.782266e-05,-4.063607e-06,0.000234812,0.00013112069,-1.2889099e-05,0.000260325,0.00012907616,6.325368e-05,2.1166683e-05
-4.3632326e-06,-1.4201098e-06,3.9512764e-05,-4.181123e-06,0.00024475454,0.00013677127,-1.3119117e-05,0.00027135157,0.00013445798,6.5885586e-05,2.2058883e-05
-4.483288e-06,-1.4306654e-06,4.1223724e-05,-4.296835e-06,0.00025479146,0.00014247918,-1.3334371e-05,0.00028248373,0.00013988638,6.854005e-05,2.2959282e-05
-4.6019964e-06,-1.439249e-06,4.2954543e-05,-4.4106882e-06,0.0002649171,0.00014824096,-1.3534797e-05,0.00029371533,0.0001453583,7.1215574e-05,2.386737e-05
-4.7193735e-06,-1.4459091e-06,4.4704255e-05,-4.522634e-06,0.0002751259,0.00015405327,-1.3720369e-05,0.00030504027,0.00015087068,7.391074e-05,2.4782637e-05
-4.8354414e-06,-1.4506974e-06,4.6471916e-05,-4.63263e-06,0.0002854125,0.0001599128,-1.3891075e-05,0.0003164526,0.00015642072,7.662411e-05,2.5704594e-05
-4.9502246e-06,-1.4536715e-06,4.825658e-05,-4.74064e-06,0.00029577164,0.00016581638,-1.4046953e-05,0.00032794656,0.00016200557,7.935434e-05,2.6632772e-05
-5.0637573e-06,-1.4548864e-06,5.005735e-05,-4.8466336e-06,0.00030619814,0.00017176085,-1.41880555e-05,0.0003395166,0.00016762251,8.210009e-05,2.7566697e-05
-5.1760762e-06,-1.4544075e-06,5.187332e-05,-4.950585e-06,0.00031668704,0.00017774313,-1.4314464e-05,0.0003511572,0.00017326885,8.486008e-05,2.8505929e-05
-5.2872265e-06,-1.4523007e-06,5.3703603e-05,-5.052474e-06,0.00032723355,0.00018376028,-1.4426276e-05,0.0003628631,0.00017894205,8.7633074e-05,2.9450026e-05
-5.397252e-06,-1.44863e-06,5.554735e-05,-5.152284e-06,0.00033783287,0.00018980936,-1.4523617e-05,0.00037462907,0.00018463965,9.041786e-05,3.0398567e-05
-5.506203e-06,-1.4434657e-06,5.74037e-05,-5.2500036e-06,0.00034848045,0.00019588742,-1.460663e-05,0.00038645018,0.00019035912,9.321325e-05,3.1351123e-05
-5.6141366e-06,-1.4368804e-06,5.9271824e-05,-5.3456247e-06,0.00035917177,0.00020199182,-1.4675468e-05,0.00039832148,0.00019609819,9.601812e-05,3.23073e-05
-5.7211064e-06,-1.4289467e-06,6.1150924e-05,-5.4391444e-06,0.00036990255,0.00020811975,-1.4730319e-05,0.00041023822,0.00020185456,9.883136e-05,3.3266704e-05
-5.8271744e-06,-1.4197367e-06,6.304019e-05,-5.5305613e-06,0.00038066859,0.00021426851,-1.4771364e-05,0.00042219582,0.00020762601,0.000101651916,3.4228957e-05
-5.9324034e-06,-1.409327e-06,6.4938846e-05,-5.619878e-06,0.0003914657,0.00022043566,-1.4798813e-05,0.00043418977,0.00021341039,0.00010447872,3.5193694e-05
-6.0368566e-06,-1.3977952e-06,6.684613e-05,-5.7070993e-06,0.0004022899,0.00022661859,-1.4812884e-05,0.0004462157,0.00021920561,0.00010731081,3.6160545e-05
-6.140598e-06,-1.3852174e-06,6.87613e-05,-5.7922357e-06,0.0004131374,0.00023281491,-1.4813805e-05,0.0004582695,0.0002250097,0.000110147164,3.7129164e-05
-6.243702e-06,-1.3716688e-06,7.0683636e-05,-5.8752976e-06,0.0004240044,0.00023902215,-1.4801816e-05,0.00047034692,0.00023082065,0.000112986876,3.8099217e-05
-6.3462344e-06,-1.3572319e-06,7.26124e-05,-5.956297e-06,0.00043488725,0.00024523798,-1.4777167e-05,0.00048244398,0.00023663664,0.00011582903,3.907038e-05
-6.4482647e-06,-1.3419829e-06,7.454694e-05,-6.0352513e-06,0.00044578238,0.00025146027,-1.4740106e-05,0.00049455685,0.00024245578,0.00011867273,4.004232e-05
-6.5498652e-06,-1.3259992e-06,7.648655e-05,-6.112176e-06,0.0004566864,0.00025768668,-1.4690907e-05,0.0005066818,0.00024827628,0.00012151712,4.1014733e-05
-6.6511093e-06,-1.309359e-06,7.843056e-05,-6.187093e-06,0.000467596,0.00026391516,-1.4629835e-05,0.00051881524,0.00025409643,0.0001243614,4.1987332e-05
-6.7520687e-06,-1.2921425e-06,8.037837e-05,-6.2600216e-06,0.00047850783,0.0002701436,-1.4557163e-05,0.00053095346,0.00025991464,0.00012720475,4.295981e-05
-6.852817e-06,-1.2744224e-06,8.232929e-05,-6.3309844e-06,0.00048941886,0.00027636992,-1.4473177e-05,0.0005430932,0.0002657292,0.00013004638,4.3931894e-05
