E1,E2,E3,E4,P1,P2,P3,P4
2.320296964356265e-05,3.373011888482e-05,4.4393193808400325e-05,-4.297460855995245e-06,0.0003517670409950915,0.00022765140982530235,0.00010241490216613445,0.00028545171895518807
2.4194528427974466e-05,3.511322470030857e-05,4.625627817485721e-05,-4.411368215109721e-06,0.00036571665329391786,0.00023684642916746128,0.00010674385536078724,0.0002968041536056998
2.519781392155742e-05,3.65099738761328e-05,4.813988367659335e-05,-4.523371030091125e-06,0.0003797807740021626,0.0002461254838579014,0.00011112200023437769,0.00030825116330860373
2.6212285954644362e-05,3.791963003628211e-05,5.004301129767602e-05,-4.6334271384058604e-06,0.00039395211383800796,0.00025548373024651287,0.00011554701115256184,0.00031978678061606513
2.723741282041361e-05,3.934147275554792e-05,5.1964680222336736e-05,-4.741500316069936e-06,0.00040822357959303317,0.0002649164408259132,0.00012001660252435113,0.00033140519515329386
2.8272671427361846e-05,4.0774797449381946e-05,5.3903927922780106e-05,-4.847559910129741e-06,0.0004225882702973165,0.00027441900267736227,0.00012452852917068592,0.0003431007507408393
2.931754743235516e-05,4.221891525380009e-05,5.585981022158584e-05,-4.9515804893122435e-06,0.0004370394734285211,0.00028398691589526264,0.00012908058662535209,0.00035486794253951223
3.0371535355346684e-05,4.367315289606686e-05,5.783140133022335e-05,-5.05354151203828e-06,0.0004515706611657804,0.00029361579199303566,0.00013367061137216487,0.0003667014142191773
3.143413867679941e-05,4.513685255685847e-05,5.981779386512714e-05,-5.15342701102628e-06,0.000466175486689106,0.00030330135229302067,0.0001382964810221654,0.00037859595515256405
3.250486991880493e-05,4.660937172456859e-05,6.181809884271416e-05,-5.251225293746061e-06,0.0004808477805249617,0.00031303942630289374,0.00014295611443439872,0.00039054649763515885
3.358325071084312e-05,4.809008304238695e-05,6.383144565465914e-05,-5.346928658013318e-06,0.0004955815469385693,0.0003228259500809668,0.0001476474717836796,0.0004025481141321491
3.466881184108384e-05,4.957837414874916e-05,6.585698202468192e-05,-5.440533122045213e-06,0.0005103709603734325,0.00033265696459259625,0.00015236855457858998,0.0004145960145533129
3.576109329408997e-05,5.1073647511725916e-05,6.789387394804133e-05,-5.532038168326014e-06,0.0005252103619384987,0.00034252861405980066,0.00015711740563280216,0.00042668554355666935
3.68596442757406e-05,5.257532025789036e-05,6.994130561487313e-05,-5.621446500659095e-06,0.0005400942559433125,0.00035243714430607234,0.0001618921089926738,0.00043881217788162996
3.796402322615494e-05,5.408282399617465e-05,7.199847931845537e-05,-5.708763813807986e-06,0.0005550173064814454,0.0003623789010982468,0.0001666907898239226,0.00045097152371232333
3.907379782136037e-05,5.559560463720018e-05,7.406461534943166e-05,-5.793998575154308e-06,0.0005699743340624372,0.00037235032848718724,0.00017151161426005336,0.000463159314071699
4.018854496441318e-05,5.711312220854017e-05,7.613895187697367e-05,-5.877161817824675e-06,0.0005849603122924164,0.0003823479671489368,0.00017635278921508283,0.0004753714062469504
4.130785076664615e-05,5.863485066634975e-05,7.822074481781534e-05,-5.958266944761895e-06,0.0005999703646035214,0.0003923684527278884,0.00018121256216298414,0.00048760377924674236
4.2431310519685486e-05,6.01602777037743e-05,8.030926769404657e-05,-6.037329543238018e-06,0.0006149997610321952,0.0004024085141834315,0.00018608922088615628,0.000499852531290668
4.355852865884798e-05,6.168890455652575e-05,8.240381148050943e-05,-6.114367209328233e-06,0.0006300439150463724,0.0004124649721414377,0.0001909810931951105,0.0005121138773313081
4.468911871850018e-05,6.322024580599464e-05,8.450368444259853e-05,-6.189399381885074e-06,0.0006450983804215383,0.000422534737251867,0.00019588654662145802,0.0005243841466092136
4.582270327993266e-05,6.47538291802457e-05,8.660821196522659e-05,-6.262447185572088e-06,0.0006601588481656002,0.0004326148085536888,0.00020080398808618204,0.0005366597802410877
4.6958913912275624e-05,6.628919535322539e-05,8.871673637367857e-05,-6.333533282534982e-06,0.0006752211434924622,0.00044270227184823485,0.00020573186354507514,0.0005489373288413932
4.80973911069558e-05,6.78258977424913e-05,9.08286167470401e-05,-6.402681732306384e-06,0.0006902812228441698,0.00045279429808202804,0.00021066865761313315,0.0005612134501775739
4.923778420617012e-05,6.936350230575594e-05,9.294322872485166e-05,-6.46991785955768e-06,0.000705335170961449,0.00046288814174005476,0.00021561289316960233,0.0005734849068590313
5.037975132582762e-05,7.090158733652026e-05,9.505996430760581e-05,-6.535268129328067e-06,0.0007203791980024336,0.00047298113925038675,0.0002205631309452934,0.0005857485640599687
5.152295927338871e-05,7.243974325905631e-05,9.717823165167275e-05,-6.598760029376938e-06,0.0007354096367093443,0.00048307070740098685,0.00022551796909369207,0.0005980013872761669
5.266708346100857e-05,7.397757242298377e-05,9.929745485920931e-05,-6.660421959320968e-06,0.0007504229396228582,0.0004931543417694767,0.00023047604274731659,0.000610240440115735
5.38118078143715e-05,7.551468889766908e-05,0.00010141707376357624,-6.72028312623205e-06,0.0007654156763438728,0.000503229615166584,0.000235436023560699,0.0006224628821238369
5.495682467758258e-05,7.705071826666366e-05,0.00010353654371076145,-6.7783734463862045e-06,0.0007803845308423576,0.0005132941760939297,0.00024039661924129288,0.0006346659666413682
5.6101834714464293e-05,7.85852974223832e-05,0.00010565533533727954,-6.834723452867167e-06,0.0007953262988129468,0.0005233457472167638,0.00024535657306954235,0.0006468470386975322
5.724654680658771e-05,8.011807436121782e-05,0.0001077729343449928,-6.889364208741253e-06,0.0008102378850769214,0.0005333821238522094,0.00025031466340928195,0.0006590035329362326
5.839067794835017e-05,8.164870797925107e-05,0.0001098888412732735,-6.942327225532523e-06,0.0008251163010301983,0.0005434011724735237,0.00025526970320957165,0.0006711329715761778
5.953395313939547e-05,8.317686786875354e-05,0.00011200257126890596,-6.993644386739164e-06,0.0008399586621369312,0.0005534008292308413,0.00026022053949901575,0.0006832329624045685
6.067610527465595e-05,8.470223411560706e-05,0.00011411365385410139,-7.043347876143409e-06,0.0008547621854683116,0.0005633790984888217,0.00026516605287355113,0.0006953011968042182
