E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6997575e-06,1.6997575e-06,1.6997575e-06,1.6997575e-06,3.7394489e-06,3.7394489e-06,3.7394489e-06,3.7394489e-06,1.9594386e-06,1.9594386e-06,1.9594386e-06
5.0426142e-06,5.0426142e-06,5.0426142e-06,5.0426142e-06,1.096905e-05,1.096905e-05,1.096905e-05,1.096905e-05,5.8587216e-06,5.8587216e-06,5.8587216e-06
9.973333e-06,9.973339e-06,9.9733425e-06,9.973326e-06,2.1452306e-05,2.1452168e-05,2.1452055e-05,2.145224e-05,1.1678443e-05,1.1678422e-05,1.1678409e-05
1.643807e-05,1.6438096e-05,1.6438113e-05,1.6438029e-05,3.4964927e-05,3.4964265e-05,3.49637e-05,3.496461e-05,1.9399384e-05,1.9399282e-05,1.9399215e-05
2.4384342e-05,2.4384415e-05,2.4384462e-05,2.4384211e-05,5.129428e-05,5.1292336e-05,5.1290674e-05,5.129336e-05,2.9002507e-05,2.9002204e-05,2.9002007e-05
3.3760993e-05,3.376116e-05,3.376127e-05,3.3760687e-05,7.0238835e-05,7.02344e-05,7.02306e-05,7.023674e-05,4.0468956e-05,4.0468254e-05,4.0467803e-05
4.4518165e-05,4.4518492e-05,4.4518714e-05,4.451756e-05,9.160767e-05,9.159899e-05,9.159153e-05,9.160358e-05,5.378006e-05,5.3778662e-05,5.377777e-05
5.660727e-05,5.6607856e-05,5.6608256e-05,5.6606197e-05,0.00011521997,0.00011520467,0.000115191506,0.00011521277,6.891731e-05,6.8914815e-05,6.891323e-05
6.998097e-05,6.9981936e-05,6.99826e-05,6.99792e-05,0.00014090457,0.00014087958,0.00014085807,0.00014089282,8.586238e-05,8.5858264e-05,8.5855645e-05
8.459313e-05,8.459463e-05,8.459567e-05,8.4590385e-05,0.00016849945,0.00016846097,0.00016842785,0.00016848138,0.000104597115,0.0001045907,0.00010458662
0.00010039881,0.00010040102,0.00010040258,0.00010039474,0.0001978514,0.00019779484,0.00019774617,0.00019782485,0.00012510353,0.00012509398,0.00012508793
0.000117354226,0.00011735737,0.000117359625,0.00011734842,0.00022881552,0.00022873546,0.00022866657,0.00022877794,0.0001473638,0.00014735012,0.00014734144
0.00013541672,0.00013542107,0.00013542421,0.0001354087,0.0002612549,0.00026114503,0.00026105053,0.0002612033,0.00017136025,0.00017134126,0.00017132923
0.00015454476,0.00015455061,0.00015455487,0.00015453396,0.00029504014,0.0002948933,0.00029476703,0.00029497116,0.00019707541,0.00019704973,0.00019703346
0.00017469788,0.00017470556,0.00017471123,0.00017468366,0.0003300491,0.0003298572,0.0003296922,0.00032995897,0.00022449192,0.00022445795,0.00022443646
