E3b,PV3b,SST3b,VIP3b,E1,PV1,SST1,VIP1,E2,PV2,SST2,E3,PV3,SST3,E4,PV4,SST4,E1S2,PV1S2,SST1S2,VIP1S2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,B,Ext
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.08866560638957817,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.005536133684863523,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0003647642679900745,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.013178156017369727,-0.0037825682382133996,-0.003213399503722085,-0.0005668424317617865,0.014125310173697269,-0.0002636476426799007,-0.0003349875930521092,0.0010189205955334988,-1.6904466501240695e-05,-0.0002442617866004963,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0063737692307692315,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.056056335297766754,-0.004438585607940446,-0.0013542183622828785,-0.000725031017369727,0.0012327543424317615,-0.00022410049627791565,-0.0002382133995037221,4.245502481389578e-05,-1.6904466501240695e-05,-0.0002279776674937965,9.987593052109182e-06,-8.684863523573202e-07,-6.141439205955335e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0003392307692307693,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.03186360111662531,-0.004061724565756824,-0.0,-0.0035724255583126554,0.0005136476426799007,-0.00015818858560794045,-0.0003275434243176179,2.547301488833747e-05,-1.6904466501240695e-05,-0.0003419665012406948,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.010490074441687345,-0.002875310173697271,-0.005313585607940446,-0.0008304900744416873,0.0001540942928039702,-0.00013182382133995036,-0.00012655086848635237,8.491004962779157e-06,-1.6904466501240695e-05,-9.770471464019852e-05,0.0,-1.7369727047146404e-06,-5.117866004962779e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0017046370967741936,-0.0004885235732009926,-0.0006771091811414393,-0.0009227667493796526,0.04042663771712159,-0.004930210918114144,-0.0014739454094292806,0.0005094602977667494,-0.0004733250620347394,-0.0008467741935483872,0.0,-1.7369727047146404e-05,-0.0002456575682382134,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.04026997518610422,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.004720533498759305,-0.00022332506203473945,-0.0002639578163771712,-0.000698666253101737,0.14407816377171212,-0.003796526054590571,-0.0027022332506203475,0.0007641904466501242,-0.0004733250620347394,-0.0007653535980148883,9.987593052109181e-05,-2.6054590570719604e-05,-0.00018424317617866007,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.002066997518610422,-0.0,1.0,0.0
