,E3b,PV3b,SST3b,VIP3b,thalE,thalI
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2098958678573878,0.24406316645930354,0.1712083579323803,0.16153277829482546,0.0,0.0
3,0.4940514664208677,0.5845135050786752,0.40093101391564406,0.37487280001477985,0.0,0.0
4,0.7832533365966629,0.9444070889525226,0.631967934201019,0.584821492323698,0.0,0.0
5,1.045561446136822,1.2865709402784928,0.8382428988494631,0.7666496397795978,0.0,0.0
6,1.2691768246062294,1.595479454601541,1.010469354656338,0.9119899624056942,0.0,0.0
7,1.4525764899357412,1.8668383812556253,1.1478937587381777,1.0207343982408699,0.0,0.0
8,1.5989860918279675,2.1017503295169617,1.2536692701333314,1.0965075099209856,0.0,0.0
9,1.7134001026719214,2.303561776130777,1.3323629541041584,1.1442358232818315,0.0,0.0
10,1.8010672636615384,2.476246544095514,1.3886910098955225,1.168920530629862,0.0,0.0
11,1.8667954394814807,2.623644836470868,1.4269413241724647,1.1750821231034825,0.0,0.0
12,1.9146967825831527,2.749160119287663,1.4507656701843379,1.1665655243492263,0.0,0.0
13,1.9481554116590627,2.855686961498514,1.463158798515287,1.1465269675864245,0.0,0.0
14,1.9698960611394487,2.94564437380018,1.4665222512100853,1.1175028618064087,0.0,0.0
15,1.982088628897288,3.0210482430885426,1.4627580785379608,1.0815071926929294,0.0,0.0
16,1.9864559548077265,3.0835899820885597,1.453364863221238,1.0401305744056946,0.0,0.0
17,1.9843702085271888,3.134706913332967,1.4395236590309073,0.9946288863682476,0.0,0.0
18,1.9769328899891496,3.1756395345385737,1.4221695877904963,0.9459973587557875,0.0,0.0
19,1.9650382446101495,3.207475486559824,1.4020489152992401,0.8950299475294798,0.0,0.0
20,1.94942201151059,3.2311820201318,1.3797632385264544,0.8423656142540761,0.0,0.0
21,1.9306981140598398,3.247629336323584,1.3558030190729937,0.7885237232059993,0.0,0.0
22,1.9093858873963674,3.257607090096583,1.3305726976963825,0.7339307768008616,0.0,0.0
23,1.8859301163587436,3.261835992697275,1.3044093594144766,0.6789404578437848,0.0,0.0
24,1.860715740822914,3.260976029452657,1.2775965682545576,0.6238486084125012,0.0,0.0
25,1.8340786777014657,3.2556324193080433,1.2503746443730719,0.5689044375505323,0.0,0.0
26,1.8063138542930166,3.2463601174152528,1.2229483528729599,0.5143189518156069,0.0,0.0
27,1.7776812593691733,3.233667409070785,1.1954927252228327,0.46027135653405593,0.0,0.0
28,1.7484105941165273,3.218018955709028,1.1681575395271773,0.4069139808563078,0.0,0.0
29,1.71870493611232,3.1998385199788792,1.141070838101224,0.3543761302262529,0.0,0.0
30,1.688743705406869,3.179511505072637,1.114341751259057,0.30276715770545404,0.0,0.0
31,1.6586851324832514,3.157387382642103,1.088062816585778,0.25217896289255415,0.0,0.0
32,1.6286683647435636,3.133782045002179,1.062311925995039,0.20268806706910492,0.0,0.0
33,1.5988153042653548,3.108980094057914,1.0371539926779756,0.15435737002542083,0.0,0.0
34,1.5692322394823819,3.083237066424553,1.0126424020274614,0.10723766330840667,0.0,0.0
35,1.5400113131120854,3.056781587897401,0.9888202912892344,0.061368952967429946,0.0,0.0
36,1.51123185510009,3.029817448227626,0.9657216894732839,0.016781629692777855,0.0,0.0
37,1.482961600438041,3.002525587350121,0.9433725400873185,-0.02650248634048946,0.0,0.0
38,1.4552578059220522,2.9750659856598025,0.9217916231969076,-0.06846920595899508,0.0,0.0
39,1.428168276203004,2.9475794529279105,0.9009913892374922,-0.10911112193755756,0.0,0.0
40,1.40173230711658,2.9201893125575857,0.8809787142522056,-0.14842683906875465,0.0,0.0
41,1.375981552784625,2.893002979855125,0.8617555843611389,-0.18642027447789355,0.0,0.0
42,1.3509408220276604,2.8661134347175476,0.8433197159809723,-0.223100021030193,0.0,0.0
43,1.3266288090107876,2.839600590562485,0.8256651174071019,-0.2584787679006404,0.0,0.0
44,1.3030587626268724,2.813532562451064,0.80878259671014,-0.29257277326042663,0.0,0.0
45,1.2802390988173582,2.7879668382012657,0.7926602203978674,-0.3254013846864887,0.0,0.0
46,1.2581739597907677,2.762951356892465,0.7772837268961322,-0.35698660339655164,0.0,0.0
47,1.2368637238915716,2.738525499559496,0.762636898572033,-0.3873526888010759,0.0,0.0
48,1.2163054696806403,2.7147209971038757,0.7487018957375461,-0.41652580017902086,0.0,0.0
49,1.196493397604129,2.691562760544664,0.7354595558176242,-0.44453367254866505,0.0,0.0
50,1.1774192124464171,2.669069638721638,0.7228896606352334,-0.4714053240326239,0.0,0.0
51,1.1590724695834143,2.6472551084741003,0.7109711745516988,-0.4971707922175097,0.0,0.0
52,1.14144088787537,2.6261279021706687,0.6996824560010529,-0.5218608971898795,0.0,0.0
53,1.124510631864148,2.6056925772757284,0.6890014447699683,-0.5455070290955217,0.0,0.0
54,1.1082665657698465,2.5859500324203424,0.6789058271992215,-0.5681409582216628,0.0,0.0
